issue_id,severity,category,title,description,affected_screen_ids,affected_routes,affected_roles,affected_workspaces,evidence_screenshots,expected_behavior,actual_behavior,recommendation,priority,implementation_notes
MOBILE-USABILITY-277,P1,mobile_usability,Small mobile tap targets,1 visible controls appear smaller than comfortable tap targets.,BNAADMIN__BNA__SETTINGS__WORKSPACE__LOAD__MOBILE__724,/operations?workspace=bna&view=settings&section=workspace,BNA Admin,BNA School Workspace,screenshots/mobile/BNAADMIN__BNA__SETTINGS__WORKSPACE__LOAD__MOBILE__724.png,Mobile screen has no overflow and comfortable tap targets.,1 visible controls appear smaller than comfortable tap targets.,Normalize buttons/links/inputs to at least 40px height on mobile.,P1,public/operations.html
MOBILE-USABILITY-278,P1,mobile_usability,Small mobile tap targets,3 visible controls appear smaller than comfortable tap targets.,BNAADMIN__BNA__SETTINGS__EMAIL_IDENTITIES__LOAD__MOBILE__728,/operations?workspace=bna&view=settings&section=email_identities,BNA Admin,BNA School Workspace,screenshots/mobile/BNAADMIN__BNA__SETTINGS__EMAIL_IDENTITIES__LOAD__MOBILE__728.png,Mobile screen has no overflow and comfortable tap targets.,3 visible controls appear smaller than comfortable tap targets.,Normalize buttons/links/inputs to at least 40px height on mobile.,P1,public/operations.html
MOBILE-USABILITY-279,P1,mobile_usability,Small mobile tap targets,3 visible controls appear smaller than comfortable tap targets.,BNAADMIN__BNA__SETTINGS__WHATSAPP__LOAD__MOBILE__729,/operations?workspace=bna&view=settings&section=whatsapp,BNA Admin,BNA School Workspace,screenshots/mobile/BNAADMIN__BNA__SETTINGS__WHATSAPP__LOAD__MOBILE__729.png,Mobile screen has no overflow and comfortable tap targets.,3 visible controls appear smaller than comfortable tap targets.,Normalize buttons/links/inputs to at least 40px height on mobile.,P1,public/operations.html
MOBILE-USABILITY-280,P1,mobile_usability,Small mobile tap targets,3 visible controls appear smaller than comfortable tap targets.,BNAADMIN__BNA__SETTINGS__SOCIAL_ACCOUNTS__LOAD__MOBILE__730,/operations?workspace=bna&view=settings&section=social_accounts,BNA Admin,BNA School Workspace,screenshots/mobile/BNAADMIN__BNA__SETTINGS__SOCIAL_ACCOUNTS__LOAD__MOBILE__730.png,Mobile screen has no overflow and comfortable tap targets.,3 visible controls appear smaller than comfortable tap targets.,Normalize buttons/links/inputs to at least 40px height on mobile.,P1,public/operations.html
MOBILE-USABILITY-281,P1,mobile_usability,Small mobile tap targets,3 visible controls appear smaller than comfortable tap targets.,BNAADMIN__BNA__SETTINGS__CALENDAR__LOAD__MOBILE__731,/operations?workspace=bna&view=settings&section=calendar,BNA Admin,BNA School Workspace,screenshots/mobile/BNAADMIN__BNA__SETTINGS__CALENDAR__LOAD__MOBILE__731.png,Mobile screen has no overflow and comfortable tap targets.,3 visible controls appear smaller than comfortable tap targets.,Normalize buttons/links/inputs to at least 40px height on mobile.,P1,public/operations.html
MOBILE-USABILITY-282,P1,mobile_usability,Small mobile tap targets,3 visible controls appear smaller than comfortable tap targets.,BNAADMIN__BNA__SETTINGS__GOOGLE_CLASSROOM__LOAD__MOBILE__732,/operations?workspace=bna&view=settings&section=google_classroom,BNA Admin,BNA School Workspace,screenshots/mobile/BNAADMIN__BNA__SETTINGS__GOOGLE_CLASSROOM__LOAD__MOBILE__732.png,Mobile screen has no overflow and comfortable tap targets.,3 visible controls appear smaller than comfortable tap targets.,Normalize buttons/links/inputs to at least 40px height on mobile.,P1,public/operations.html
MOBILE-USABILITY-283,P1,mobile_usability,Small mobile tap targets,1 visible controls appear smaller than comfortable tap targets.,BNAADMIN__BNA__SETTINGS__PROVIDER_INDEX__LOAD__MOBILE__736,/operations?workspace=bna&view=settings&section=provider_index,BNA Admin,BNA School Workspace,screenshots/mobile/BNAADMIN__BNA__SETTINGS__PROVIDER_INDEX__LOAD__MOBILE__736.png,Mobile screen has no overflow and comfortable tap targets.,1 visible controls appear smaller than comfortable tap targets.,Normalize buttons/links/inputs to at least 40px height on mobile.,P1,public/operations.html
MOBILE-USABILITY-284,P1,mobile_usability,Small mobile tap targets,5 visible controls appear smaller than comfortable tap targets.,BNAADMIN__BNA__SETTINGS__PROVIDER_ENTITLEMENTS__LOAD__MOBILE__738,/operations?workspace=bna&view=settings&section=provider_entitlements,BNA Admin,BNA School Workspace,screenshots/mobile/BNAADMIN__BNA__SETTINGS__PROVIDER_ENTITLEMENTS__LOAD__MOBILE__738.png,Mobile screen has no overflow and comfortable tap targets.,5 visible controls appear smaller than comfortable tap targets.,Normalize buttons/links/inputs to at least 40px height on mobile.,P1,public/operations.html
MOBILE-USABILITY-285,P1,mobile_usability,Small mobile tap targets,1 visible controls appear smaller than comfortable tap targets.,BNAADMIN__BNA__SETTINGS__PROVIDER_ONBOARDING__LOAD__MOBILE__739,/operations?workspace=bna&view=settings&section=provider_onboarding,BNA Admin,BNA School Workspace,screenshots/mobile/BNAADMIN__BNA__SETTINGS__PROVIDER_ONBOARDING__LOAD__MOBILE__739.png,Mobile screen has no overflow and comfortable tap targets.,1 visible controls appear smaller than comfortable tap targets.,Normalize buttons/links/inputs to at least 40px height on mobile.,P1,public/operations.html
MOBILE-USABILITY-286,P1,mobile_usability,Small mobile tap targets,1 visible controls appear smaller than comfortable tap targets.,BNAADMIN__BNA__SETTINGS__COMMERCIAL_MODELS__LOAD__MOBILE__740,/operations?workspace=bna&view=settings&section=commercial_models,BNA Admin,BNA School Workspace,screenshots/mobile/BNAADMIN__BNA__SETTINGS__COMMERCIAL_MODELS__LOAD__MOBILE__740.png,Mobile screen has no overflow and comfortable tap targets.,1 visible controls appear smaller than comfortable tap targets.,Normalize buttons/links/inputs to at least 40px height on mobile.,P1,public/operations.html
SETTINGS-PLACEHOLDER-287,P1,settings_placeholder,Too much placeholder language,The screen overuses not-configured/disabled/placeholder wording.,BNAADMIN__BNA__SETTINGS__INTEGRATIONS__LOAD__MOBILE__744,/operations?workspace=bna&view=settings&section=integrations,BNA Admin,BNA School Workspace,screenshots/mobile/BNAADMIN__BNA__SETTINGS__INTEGRATIONS__LOAD__MOBILE__744.png,Settings pages show real rows/fields with only missing controls disabled.,The screen overuses not-configured/disabled/placeholder wording.,Render real settings rows and disable only the missing controls with one-line helper text.,P1,public/operations.html
MOBILE-USABILITY-288,P1,mobile_usability,Small mobile tap targets,15 visible controls appear smaller than comfortable tap targets.,BNAADMIN__BNA__SETTINGS__INTEGRATIONS__LOAD__MOBILE__744,/operations?workspace=bna&view=settings&section=integrations,BNA Admin,BNA School Workspace,screenshots/mobile/BNAADMIN__BNA__SETTINGS__INTEGRATIONS__LOAD__MOBILE__744.png,Mobile screen has no overflow and comfortable tap targets.,15 visible controls appear smaller than comfortable tap targets.,Normalize buttons/links/inputs to at least 40px height on mobile.,P1,public/operations.html
MOBILE-USABILITY-289,P1,mobile_usability,Small mobile tap targets,1 visible controls appear smaller than comfortable tap targets.,BNAADMIN__BNA__SETTINGS__BILLING__LOAD__MOBILE__747,/operations?workspace=bna&view=settings&section=billing,BNA Admin,BNA School Workspace,screenshots/mobile/BNAADMIN__BNA__SETTINGS__BILLING__LOAD__MOBILE__747.png,Mobile screen has no overflow and comfortable tap targets.,1 visible controls appear smaller than comfortable tap targets.,Normalize buttons/links/inputs to at least 40px height on mobile.,P1,public/operations.html
MOBILE-USABILITY-290,P1,mobile_usability,Small mobile tap targets,7 visible controls appear smaller than comfortable tap targets.,PROVIDERADMIN__SHELLER__DASHBOARD__OVERVIEW__LOAD__MOBILE__751,/operations?workspace=rabbi_sheller_provider&view=dashboard&section=overview,Provider Admin,Rabbi Sheller Provider Workspace,screenshots/mobile/PROVIDERADMIN__SHELLER__DASHBOARD__OVERVIEW__LOAD__MOBILE__751.png,Mobile screen has no overflow and comfortable tap targets.,7 visible controls appear smaller than comfortable tap targets.,Normalize buttons/links/inputs to at least 40px height on mobile.,P1,public/operations.html
MOBILE-USABILITY-291,P1,mobile_usability,Small mobile tap targets,1 visible controls appear smaller than comfortable tap targets.,PROVIDERADMIN__SHELLER__DASHBOARD__ACTIVITY__LOAD__MOBILE__752,/operations?workspace=rabbi_sheller_provider&view=dashboard&section=activity,Provider Admin,Rabbi Sheller Provider Workspace,screenshots/mobile/PROVIDERADMIN__SHELLER__DASHBOARD__ACTIVITY__LOAD__MOBILE__752.png,Mobile screen has no overflow and comfortable tap targets.,1 visible controls appear smaller than comfortable tap targets.,Normalize buttons/links/inputs to at least 40px height on mobile.,P1,public/operations.html
MOBILE-USABILITY-292,P1,mobile_usability,Small mobile tap targets,1 visible controls appear smaller than comfortable tap targets.,PROVIDERADMIN__SHELLER__DASHBOARD__UPDATES__LOAD__MOBILE__755,/operations?workspace=rabbi_sheller_provider&view=dashboard&section=updates,Provider Admin,Rabbi Sheller Provider Workspace,screenshots/mobile/PROVIDERADMIN__SHELLER__DASHBOARD__UPDATES__LOAD__MOBILE__755.png,Mobile screen has no overflow and comfortable tap targets.,1 visible controls appear smaller than comfortable tap targets.,Normalize buttons/links/inputs to at least 40px height on mobile.,P1,public/operations.html
MOBILE-USABILITY-293,P1,mobile_usability,Small mobile tap targets,1 visible controls appear smaller than comfortable tap targets.,PROVIDERADMIN__SHELLER__PIPELINES__OVERVIEW__LOAD__MOBILE__756,/operations?workspace=rabbi_sheller_provider&view=pipelines&section=overview,Provider Admin,Rabbi Sheller Provider Workspace,screenshots/mobile/PROVIDERADMIN__SHELLER__PIPELINES__OVERVIEW__LOAD__MOBILE__756.png,Mobile screen has no overflow and comfortable tap targets.,1 visible controls appear smaller than comfortable tap targets.,Normalize buttons/links/inputs to at least 40px height on mobile.,P1,public/operations.html
MOBILE-USABILITY-294,P1,mobile_usability,Small mobile tap targets,1 visible controls appear smaller than comfortable tap targets.,PROVIDERADMIN__SHELLER__PIPELINES__BNA_ENROLLMENT__LOAD__MOBILE__757,/operations?workspace=rabbi_sheller_provider&view=pipelines&section=bna_enrollment,Provider Admin,Rabbi Sheller Provider Workspace,screenshots/mobile/PROVIDERADMIN__SHELLER__PIPELINES__BNA_ENROLLMENT__LOAD__MOBILE__757.png,Mobile screen has no overflow and comfortable tap targets.,1 visible controls appear smaller than comfortable tap targets.,Normalize buttons/links/inputs to at least 40px height on mobile.,P1,public/operations.html
MOBILE-USABILITY-295,P1,mobile_usability,Small mobile tap targets,1 visible controls appear smaller than comfortable tap targets.,PROVIDERADMIN__SHELLER__PIPELINES__PROVIDER_CLASS__LOAD__MOBILE__758,/operations?workspace=rabbi_sheller_provider&view=pipelines&section=provider_class,Provider Admin,Rabbi Sheller Provider Workspace,screenshots/mobile/PROVIDERADMIN__SHELLER__PIPELINES__PROVIDER_CLASS__LOAD__MOBILE__758.png,Mobile screen has no overflow and comfortable tap targets.,1 visible controls appear smaller than comfortable tap targets.,Normalize buttons/links/inputs to at least 40px height on mobile.,P1,public/operations.html
MOBILE-USABILITY-296,P1,mobile_usability,Small mobile tap targets,1 visible controls appear smaller than comfortable tap targets.,PROVIDERADMIN__SHELLER__PIPELINES__PROVIDER_ONBOARDING__LOAD__MOBILE__759,/operations?workspace=rabbi_sheller_provider&view=pipelines&section=provider_onboarding,Provider Admin,Rabbi Sheller Provider Workspace,screenshots/mobile/PROVIDERADMIN__SHELLER__PIPELINES__PROVIDER_ONBOARDING__LOAD__MOBILE__759.png,Mobile screen has no overflow and comfortable tap targets.,1 visible controls appear smaller than comfortable tap targets.,Normalize buttons/links/inputs to at least 40px height on mobile.,P1,public/operations.html
MOBILE-USABILITY-297,P1,mobile_usability,Small mobile tap targets,1 visible controls appear smaller than comfortable tap targets.,PROVIDERADMIN__SHELLER__PIPELINES__PARTICIPANTS__LOAD__MOBILE__760,/operations?workspace=rabbi_sheller_provider&view=pipelines&section=participants,Provider Admin,Rabbi Sheller Provider Workspace,screenshots/mobile/PROVIDERADMIN__SHELLER__PIPELINES__PARTICIPANTS__LOAD__MOBILE__760.png,Mobile screen has no overflow and comfortable tap targets.,1 visible controls appear smaller than comfortable tap targets.,Normalize buttons/links/inputs to at least 40px height on mobile.,P1,public/operations.html
MOBILE-USABILITY-298,P1,mobile_usability,Small mobile tap targets,1 visible controls appear smaller than comfortable tap targets.,PROVIDERADMIN__SHELLER__PIPELINES__STALE_TASKS__LOAD__MOBILE__761,/operations?workspace=rabbi_sheller_provider&view=pipelines&section=stale_tasks,Provider Admin,Rabbi Sheller Provider Workspace,screenshots/mobile/PROVIDERADMIN__SHELLER__PIPELINES__STALE_TASKS__LOAD__MOBILE__761.png,Mobile screen has no overflow and comfortable tap targets.,1 visible controls appear smaller than comfortable tap targets.,Normalize buttons/links/inputs to at least 40px height on mobile.,P1,public/operations.html
MOBILE-USABILITY-299,P1,mobile_usability,Small mobile tap targets,1 visible controls appear smaller than comfortable tap targets.,PROVIDERADMIN__SHELLER__PIPELINES__DECISIONS__LOAD__MOBILE__762,/operations?workspace=rabbi_sheller_provider&view=pipelines&section=decisions,Provider Admin,Rabbi Sheller Provider Workspace,screenshots/mobile/PROVIDERADMIN__SHELLER__PIPELINES__DECISIONS__LOAD__MOBILE__762.png,Mobile screen has no overflow and comfortable tap targets.,1 visible controls appear smaller than comfortable tap targets.,Normalize buttons/links/inputs to at least 40px height on mobile.,P1,public/operations.html
MOBILE-USABILITY-300,P1,mobile_usability,Small mobile tap targets,7 visible controls appear smaller than comfortable tap targets.,PROVIDERADMIN__SHELLER__STUDENTS__OVERVIEW__LOAD__MOBILE__770,/operations?workspace=rabbi_sheller_provider&view=students&section=overview,Provider Admin,Rabbi Sheller Provider Workspace,screenshots/mobile/PROVIDERADMIN__SHELLER__STUDENTS__OVERVIEW__LOAD__MOBILE__770.png,Mobile screen has no overflow and comfortable tap targets.,7 visible controls appear smaller than comfortable tap targets.,Normalize buttons/links/inputs to at least 40px height on mobile.,P1,public/operations.html
PROVIDER-SCHOOL-CONFUSION-301,P1,provider_school_confusion,Provider/admin surface may be mixed with BNA school concepts,Provider workspace states should not look like BNA student accountability unless explicitly enabled.,PROVIDERADMIN__SHELLER__STUDENTS__OVERVIEW__LOAD__MOBILE__770,/operations?workspace=rabbi_sheller_provider&view=students&section=overview,Provider Admin,Rabbi Sheller Provider Workspace,screenshots/mobile/PROVIDERADMIN__SHELLER__STUDENTS__OVERVIEW__LOAD__MOBILE__770.png,"UI should be clear, wired, safe, and mapped to the correct route/workspace.",Provider workspace states should not look like BNA student accountability unless explicitly enabled.,Separate provider participants/members from BNA students and keep provider program pages simpler.,P1,public/operations.html
MOBILE-USABILITY-302,P1,mobile_usability,Small mobile tap targets,7 visible controls appear smaller than comfortable tap targets.,PROVIDERADMIN__SHELLER__STUDENTS__LIST__LOAD__MOBILE__771,/operations?workspace=rabbi_sheller_provider&view=students&section=list,Provider Admin,Rabbi Sheller Provider Workspace,screenshots/mobile/PROVIDERADMIN__SHELLER__STUDENTS__LIST__LOAD__MOBILE__771.png,Mobile screen has no overflow and comfortable tap targets.,7 visible controls appear smaller than comfortable tap targets.,Normalize buttons/links/inputs to at least 40px height on mobile.,P1,public/operations.html
PROVIDER-SCHOOL-CONFUSION-303,P1,provider_school_confusion,Provider/admin surface may be mixed with BNA school concepts,Provider workspace states should not look like BNA student accountability unless explicitly enabled.,PROVIDERADMIN__SHELLER__STUDENTS__LIST__LOAD__MOBILE__771,/operations?workspace=rabbi_sheller_provider&view=students&section=list,Provider Admin,Rabbi Sheller Provider Workspace,screenshots/mobile/PROVIDERADMIN__SHELLER__STUDENTS__LIST__LOAD__MOBILE__771.png,"UI should be clear, wired, safe, and mapped to the correct route/workspace.",Provider workspace states should not look like BNA student accountability unless explicitly enabled.,Separate provider participants/members from BNA students and keep provider program pages simpler.,P1,public/operations.html
MOBILE-USABILITY-304,P1,mobile_usability,Small mobile tap targets,7 visible controls appear smaller than comfortable tap targets.,PROVIDERADMIN__SHELLER__STUDENTS__GROUP_GOAL__LOAD__MOBILE__772,/operations?workspace=rabbi_sheller_provider&view=students&section=group_goal,Provider Admin,Rabbi Sheller Provider Workspace,screenshots/mobile/PROVIDERADMIN__SHELLER__STUDENTS__GROUP_GOAL__LOAD__MOBILE__772.png,Mobile screen has no overflow and comfortable tap targets.,7 visible controls appear smaller than comfortable tap targets.,Normalize buttons/links/inputs to at least 40px height on mobile.,P1,public/operations.html
PROVIDER-SCHOOL-CONFUSION-305,P1,provider_school_confusion,Provider/admin surface may be mixed with BNA school concepts,Provider workspace states should not look like BNA student accountability unless explicitly enabled.,PROVIDERADMIN__SHELLER__STUDENTS__GROUP_GOAL__LOAD__MOBILE__772,/operations?workspace=rabbi_sheller_provider&view=students&section=group_goal,Provider Admin,Rabbi Sheller Provider Workspace,screenshots/mobile/PROVIDERADMIN__SHELLER__STUDENTS__GROUP_GOAL__LOAD__MOBILE__772.png,"UI should be clear, wired, safe, and mapped to the correct route/workspace.",Provider workspace states should not look like BNA student accountability unless explicitly enabled.,Separate provider participants/members from BNA students and keep provider program pages simpler.,P1,public/operations.html
MOBILE-USABILITY-306,P1,mobile_usability,Small mobile tap targets,7 visible controls appear smaller than comfortable tap targets.,PROVIDERADMIN__SHELLER__STUDENTS__GOAL_BOARD__LOAD__MOBILE__773,/operations?workspace=rabbi_sheller_provider&view=students&section=goal_board,Provider Admin,Rabbi Sheller Provider Workspace,screenshots/mobile/PROVIDERADMIN__SHELLER__STUDENTS__GOAL_BOARD__LOAD__MOBILE__773.png,Mobile screen has no overflow and comfortable tap targets.,7 visible controls appear smaller than comfortable tap targets.,Normalize buttons/links/inputs to at least 40px height on mobile.,P1,public/operations.html
PROVIDER-SCHOOL-CONFUSION-307,P1,provider_school_confusion,Provider/admin surface may be mixed with BNA school concepts,Provider workspace states should not look like BNA student accountability unless explicitly enabled.,PROVIDERADMIN__SHELLER__STUDENTS__GOAL_BOARD__LOAD__MOBILE__773,/operations?workspace=rabbi_sheller_provider&view=students&section=goal_board,Provider Admin,Rabbi Sheller Provider Workspace,screenshots/mobile/PROVIDERADMIN__SHELLER__STUDENTS__GOAL_BOARD__LOAD__MOBILE__773.png,"UI should be clear, wired, safe, and mapped to the correct route/workspace.",Provider workspace states should not look like BNA student accountability unless explicitly enabled.,Separate provider participants/members from BNA students and keep provider program pages simpler.,P1,public/operations.html
MOBILE-USABILITY-308,P1,mobile_usability,Small mobile tap targets,7 visible controls appear smaller than comfortable tap targets.,PROVIDERADMIN__SHELLER__STUDENTS__ASSIGNMENTS__LOAD__MOBILE__774,/operations?workspace=rabbi_sheller_provider&view=students&section=assignments,Provider Admin,Rabbi Sheller Provider Workspace,screenshots/mobile/PROVIDERADMIN__SHELLER__STUDENTS__ASSIGNMENTS__LOAD__MOBILE__774.png,Mobile screen has no overflow and comfortable tap targets.,7 visible controls appear smaller than comfortable tap targets.,Normalize buttons/links/inputs to at least 40px height on mobile.,P1,public/operations.html
PROVIDER-SCHOOL-CONFUSION-309,P1,provider_school_confusion,Provider/admin surface may be mixed with BNA school concepts,Provider workspace states should not look like BNA student accountability unless explicitly enabled.,PROVIDERADMIN__SHELLER__STUDENTS__ASSIGNMENTS__LOAD__MOBILE__774,/operations?workspace=rabbi_sheller_provider&view=students&section=assignments,Provider Admin,Rabbi Sheller Provider Workspace,screenshots/mobile/PROVIDERADMIN__SHELLER__STUDENTS__ASSIGNMENTS__LOAD__MOBILE__774.png,"UI should be clear, wired, safe, and mapped to the correct route/workspace.",Provider workspace states should not look like BNA student accountability unless explicitly enabled.,Separate provider participants/members from BNA students and keep provider program pages simpler.,P1,public/operations.html
MOBILE-USABILITY-310,P1,mobile_usability,Small mobile tap targets,7 visible controls appear smaller than comfortable tap targets.,PROVIDERADMIN__SHELLER__STUDENTS__QUESTIONS__LOAD__MOBILE__775,/operations?workspace=rabbi_sheller_provider&view=students&section=questions,Provider Admin,Rabbi Sheller Provider Workspace,screenshots/mobile/PROVIDERADMIN__SHELLER__STUDENTS__QUESTIONS__LOAD__MOBILE__775.png,Mobile screen has no overflow and comfortable tap targets.,7 visible controls appear smaller than comfortable tap targets.,Normalize buttons/links/inputs to at least 40px height on mobile.,P1,public/operations.html
PROVIDER-SCHOOL-CONFUSION-311,P1,provider_school_confusion,Provider/admin surface may be mixed with BNA school concepts,Provider workspace states should not look like BNA student accountability unless explicitly enabled.,PROVIDERADMIN__SHELLER__STUDENTS__QUESTIONS__LOAD__MOBILE__775,/operations?workspace=rabbi_sheller_provider&view=students&section=questions,Provider Admin,Rabbi Sheller Provider Workspace,screenshots/mobile/PROVIDERADMIN__SHELLER__STUDENTS__QUESTIONS__LOAD__MOBILE__775.png,"UI should be clear, wired, safe, and mapped to the correct route/workspace.",Provider workspace states should not look like BNA student accountability unless explicitly enabled.,Separate provider participants/members from BNA students and keep provider program pages simpler.,P1,public/operations.html
MOBILE-USABILITY-312,P1,mobile_usability,Small mobile tap targets,7 visible controls appear smaller than comfortable tap targets.,PROVIDERADMIN__SHELLER__STUDENTS__DOCUMENTS__LOAD__MOBILE__776,/operations?workspace=rabbi_sheller_provider&view=students&section=documents,Provider Admin,Rabbi Sheller Provider Workspace,screenshots/mobile/PROVIDERADMIN__SHELLER__STUDENTS__DOCUMENTS__LOAD__MOBILE__776.png,Mobile screen has no overflow and comfortable tap targets.,7 visible controls appear smaller than comfortable tap targets.,Normalize buttons/links/inputs to at least 40px height on mobile.,P1,public/operations.html
PROVIDER-SCHOOL-CONFUSION-313,P1,provider_school_confusion,Provider/admin surface may be mixed with BNA school concepts,Provider workspace states should not look like BNA student accountability unless explicitly enabled.,PROVIDERADMIN__SHELLER__STUDENTS__DOCUMENTS__LOAD__MOBILE__776,/operations?workspace=rabbi_sheller_provider&view=students&section=documents,Provider Admin,Rabbi Sheller Provider Workspace,screenshots/mobile/PROVIDERADMIN__SHELLER__STUDENTS__DOCUMENTS__LOAD__MOBILE__776.png,"UI should be clear, wired, safe, and mapped to the correct route/workspace.",Provider workspace states should not look like BNA student accountability unless explicitly enabled.,Separate provider participants/members from BNA students and keep provider program pages simpler.,P1,public/operations.html
MOBILE-USABILITY-314,P1,mobile_usability,Small mobile tap targets,7 visible controls appear smaller than comfortable tap targets.,PROVIDERADMIN__SHELLER__STUDENTS__PORTAL_LINKS__LOAD__MOBILE__777,/operations?workspace=rabbi_sheller_provider&view=students&section=portal_links,Provider Admin,Rabbi Sheller Provider Workspace,screenshots/mobile/PROVIDERADMIN__SHELLER__STUDENTS__PORTAL_LINKS__LOAD__MOBILE__777.png,Mobile screen has no overflow and comfortable tap targets.,7 visible controls appear smaller than comfortable tap targets.,Normalize buttons/links/inputs to at least 40px height on mobile.,P1,public/operations.html
PROVIDER-SCHOOL-CONFUSION-315,P1,provider_school_confusion,Provider/admin surface may be mixed with BNA school concepts,Provider workspace states should not look like BNA student accountability unless explicitly enabled.,PROVIDERADMIN__SHELLER__STUDENTS__PORTAL_LINKS__LOAD__MOBILE__777,/operations?workspace=rabbi_sheller_provider&view=students&section=portal_links,Provider Admin,Rabbi Sheller Provider Workspace,screenshots/mobile/PROVIDERADMIN__SHELLER__STUDENTS__PORTAL_LINKS__LOAD__MOBILE__777.png,"UI should be clear, wired, safe, and mapped to the correct route/workspace.",Provider workspace states should not look like BNA student accountability unless explicitly enabled.,Separate provider participants/members from BNA students and keep provider program pages simpler.,P1,public/operations.html
MOBILE-USABILITY-316,P1,mobile_usability,Small mobile tap targets,7 visible controls appear smaller than comfortable tap targets.,PROVIDERADMIN__SHELLER__STUDENTS__TABLET_ACCESS__LOAD__MOBILE__778,/operations?workspace=rabbi_sheller_provider&view=students&section=tablet_access,Provider Admin,Rabbi Sheller Provider Workspace,screenshots/mobile/PROVIDERADMIN__SHELLER__STUDENTS__TABLET_ACCESS__LOAD__MOBILE__778.png,Mobile screen has no overflow and comfortable tap targets.,7 visible controls appear smaller than comfortable tap targets.,Normalize buttons/links/inputs to at least 40px height on mobile.,P1,public/operations.html
PROVIDER-SCHOOL-CONFUSION-317,P1,provider_school_confusion,Provider/admin surface may be mixed with BNA school concepts,Provider workspace states should not look like BNA student accountability unless explicitly enabled.,PROVIDERADMIN__SHELLER__STUDENTS__TABLET_ACCESS__LOAD__MOBILE__778,/operations?workspace=rabbi_sheller_provider&view=students&section=tablet_access,Provider Admin,Rabbi Sheller Provider Workspace,screenshots/mobile/PROVIDERADMIN__SHELLER__STUDENTS__TABLET_ACCESS__LOAD__MOBILE__778.png,"UI should be clear, wired, safe, and mapped to the correct route/workspace.",Provider workspace states should not look like BNA student accountability unless explicitly enabled.,Separate provider participants/members from BNA students and keep provider program pages simpler.,P1,public/operations.html
MOBILE-USABILITY-318,P1,mobile_usability,Small mobile tap targets,7 visible controls appear smaller than comfortable tap targets.,PROVIDERADMIN__SHELLER__STUDENTS__PROFILE__LOAD__MOBILE__779,/operations?workspace=rabbi_sheller_provider&view=students&section=profile,Provider Admin,Rabbi Sheller Provider Workspace,screenshots/mobile/PROVIDERADMIN__SHELLER__STUDENTS__PROFILE__LOAD__MOBILE__779.png,Mobile screen has no overflow and comfortable tap targets.,7 visible controls appear smaller than comfortable tap targets.,Normalize buttons/links/inputs to at least 40px height on mobile.,P1,public/operations.html
PROVIDER-SCHOOL-CONFUSION-319,P1,provider_school_confusion,Provider/admin surface may be mixed with BNA school concepts,Provider workspace states should not look like BNA student accountability unless explicitly enabled.,PROVIDERADMIN__SHELLER__STUDENTS__PROFILE__LOAD__MOBILE__779,/operations?workspace=rabbi_sheller_provider&view=students&section=profile,Provider Admin,Rabbi Sheller Provider Workspace,screenshots/mobile/PROVIDERADMIN__SHELLER__STUDENTS__PROFILE__LOAD__MOBILE__779.png,"UI should be clear, wired, safe, and mapped to the correct route/workspace.",Provider workspace states should not look like BNA student accountability unless explicitly enabled.,Separate provider participants/members from BNA students and keep provider program pages simpler.,P1,public/operations.html
MOBILE-USABILITY-320,P1,mobile_usability,Small mobile tap targets,7 visible controls appear smaller than comfortable tap targets.,PROVIDERADMIN__SHELLER__STUDENTS__PARENT_FAMILY__LOAD__MOBILE__780,/operations?workspace=rabbi_sheller_provider&view=students&section=parent_family,Provider Admin,Rabbi Sheller Provider Workspace,screenshots/mobile/PROVIDERADMIN__SHELLER__STUDENTS__PARENT_FAMILY__LOAD__MOBILE__780.png,Mobile screen has no overflow and comfortable tap targets.,7 visible controls appear smaller than comfortable tap targets.,Normalize buttons/links/inputs to at least 40px height on mobile.,P1,public/operations.html
PROVIDER-SCHOOL-CONFUSION-321,P1,provider_school_confusion,Provider/admin surface may be mixed with BNA school concepts,Provider workspace states should not look like BNA student accountability unless explicitly enabled.,PROVIDERADMIN__SHELLER__STUDENTS__PARENT_FAMILY__LOAD__MOBILE__780,/operations?workspace=rabbi_sheller_provider&view=students&section=parent_family,Provider Admin,Rabbi Sheller Provider Workspace,screenshots/mobile/PROVIDERADMIN__SHELLER__STUDENTS__PARENT_FAMILY__LOAD__MOBILE__780.png,"UI should be clear, wired, safe, and mapped to the correct route/workspace.",Provider workspace states should not look like BNA student accountability unless explicitly enabled.,Separate provider participants/members from BNA students and keep provider program pages simpler.,P1,public/operations.html
MOBILE-USABILITY-322,P1,mobile_usability,Small mobile tap targets,7 visible controls appear smaller than comfortable tap targets.,PROVIDERADMIN__SHELLER__STUDENTS__ANALYSIS__LOAD__MOBILE__781,/operations?workspace=rabbi_sheller_provider&view=students&section=analysis,Provider Admin,Rabbi Sheller Provider Workspace,screenshots/mobile/PROVIDERADMIN__SHELLER__STUDENTS__ANALYSIS__LOAD__MOBILE__781.png,Mobile screen has no overflow and comfortable tap targets.,7 visible controls appear smaller than comfortable tap targets.,Normalize buttons/links/inputs to at least 40px height on mobile.,P1,public/operations.html
