E	 M	.gitignore	Not confidently attributable to the focused release; needs Shloimie review.
D	??	docs/archive/dormant-next-supabase-app/tailwind.config.ts	Unrelated existing work or historical/generated audit material outside this release.
D	??	docs/archive/legacy-family-accountability/README.md	Unrelated existing work or historical/generated audit material outside this release.
D	??	docs/archive/legacy-family-accountability/scripts/apply-schema.mjs	Unrelated existing work or historical/generated audit material outside this release.
D	??	docs/archive/legacy-family-accountability/scripts/launch.mjs	Unrelated existing work or historical/generated audit material outside this release.
D	??	docs/archive/legacy-family-accountability/scripts/send-onboarding.mjs	Unrelated existing work or historical/generated audit material outside this release.
D	??	docs/archive/legacy-family-accountability/scripts/set-webhooks.mjs	Unrelated existing work or historical/generated audit material outside this release.
D	??	docs/archive/legacy-supabase-setup/README.md	Unrelated existing work or historical/generated audit material outside this release.
D	??	docs/archive/legacy-supabase-setup/SUPABASE_SETUP.md	Unrelated existing work or historical/generated audit material outside this release.
D	??	memory/2026-06-08.md	Unrelated existing work or historical/generated audit material outside this release.
D	??	memory/2026-06-09.md	Unrelated existing work or historical/generated audit material outside this release.
D	??	memory/2026-06-10.md	Unrelated existing work or historical/generated audit material outside this release.
D	??	memory/2026-06-11.md	Unrelated existing work or historical/generated audit material outside this release.
D	??	ops/drive-audits/2026-06-08T07-22-32-454Z-google-drive-audit.json	Unrelated existing work or historical/generated audit material outside this release.
D	??	ops/drive-audits/2026-06-08T07-22-32-454Z-google-drive-audit.md	Unrelated existing work or historical/generated audit material outside this release.
D	??	ops/drive-audits/2026-06-09T19-59-21-999Z-google-drive-audit.json	Unrelated existing work or historical/generated audit material outside this release.
D	??	ops/drive-audits/2026-06-09T19-59-21-999Z-google-drive-audit.md	Unrelated existing work or historical/generated audit material outside this release.
D	??	ops/drive-audits/2026-06-09T20-06-24-683Z-google-drive-audit.json	Unrelated existing work or historical/generated audit material outside this release.
D	??	ops/drive-audits/2026-06-09T20-06-24-683Z-google-drive-audit.md	Unrelated existing work or historical/generated audit material outside this release.
D	??	ops/drive-audits/2026-06-09T20-11-58-409Z-google-drive-audit.json	Unrelated existing work or historical/generated audit material outside this release.
D	??	ops/drive-audits/2026-06-09T20-11-58-409Z-google-drive-audit.md	Unrelated existing work or historical/generated audit material outside this release.
E	??	ops/marketing/facebook-ads/2026-06-08/README.md	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/marketing/facebook-ads/2026-06-08/ad-spend-summary.md	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/marketing/facebook-ads/2026-06-08/campaigns-2026-05-09-to-2026-06-07.csv	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/marketing/facebook-ads/ad-spend-tracker.csv	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/marketing/ghl-api-widget-options-2026-06-09.md	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/marketing/ghl-bot/landing-page-bot-prompt-2026-06-08.md	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/one-time-mishnah-class/partnership-drive-map.json	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/one-time-mishnah-class/partnership-drive-map.md	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/one-time-mishnah-class/rabbi-telegram-worker.md	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/2026-06-09-google-assignment-local.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/2026-06-09-google-assignment-operations-smoke.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/2026-06-09-live-google-assignment-operations-smoke.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/2026-06-09-live-operations-pwa-phone.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/2026-06-09-operations-pwa-phone.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/2026-06-09T-operations-inline-comments/operations-inline-comment-dictation.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/2026-06-09T15-09-26-552Z/operations-filter-desktop.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/2026-06-09T15-09-26-552Z/operations-filter-mobile.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/2026-06-09T15-09-26-552Z/operations-student-picker.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/2026-06-09T15-09-26-552Z/parent-portal.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/2026-06-09T15-09-26-552Z/student-portal-desktop.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/2026-06-09T15-09-26-552Z/student-portal-mobile.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/2026-06-09T15-09-26-552Z/summary.json	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/2026-06-09T15-15-13-691Z-live/live-operations-filter-desktop.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/2026-06-09T15-15-13-691Z-live/live-operations-filter-mobile.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/2026-06-09T15-15-13-691Z-live/live-operations-student-picker.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/2026-06-09T15-15-13-691Z-live/live-parent-portal.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/2026-06-09T15-15-13-691Z-live/live-student-portal-desktop.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/2026-06-09T15-15-13-691Z-live/live-student-portal-mobile.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/2026-06-09T15-15-13-691Z-live/summary.json	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/2026-06-09T15-43-14-542Z/operations-goal-board.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/2026-06-09T15-43-14-542Z/operations-questions.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/2026-06-09T15-43-14-542Z/parent-portal.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/2026-06-09T15-43-14-542Z/student-mobile.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/2026-06-09T15-43-14-542Z/student-questions.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/2026-06-09T15-44-59-168Z/parent-portal-wide.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/2026-06-09T16-05-38-446Z-live-parent-questions/operations-goal-board-live.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/2026-06-09T16-05-38-446Z-live-parent-questions/operations-questions-live.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/2026-06-09T16-05-38-446Z-live-parent-questions/parent-live.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/2026-06-09T16-05-38-446Z-live-parent-questions/student-live.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/2026-06-09T16-49-24-374Z-live-parent-questions-final/operations-goal-board-live.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/2026-06-09T16-49-24-374Z-live-parent-questions-final/operations-questions-live.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/2026-06-09T16-49-24-374Z-live-parent-questions-final/parent-live.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/2026-06-09T16-49-24-374Z-live-parent-questions-final/student-live.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/2026-06-09T18-26-38-040Z-contacts-signup-intake.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/2026-06-09T18-26-38-040Z-operations-research.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/2026-06-10-content-research-live.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/2026-06-10-task379-classroom-board-calendar-fixture.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/2026-06-10-task379-classroom-board-calendar.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/2026-06-10-task379-live-classroom-board-calendar.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/2026-06-10-task399-next-year-login-live.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/2026-06-10T11-26-32-386Z-operations-login-mobile.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/2026-06-10T11-28-12-110Z-brand-provider-smoke.json	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/2026-06-10T11-28-12-110Z-operations-desktop.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/2026-06-10T11-28-12-110Z-operations-login-mobile.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/2026-06-10T11-28-12-110Z-parent-portal-public-mobile.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/2026-06-10T11-28-12-110Z-student-portal-public-mobile.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/2026-06-10T11-29-34-627Z-operations-providers-desktop.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/2026-06-10T11-29-34-627Z-operations-providers-smoke.json	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/2026-06-10T11-30-06-322Z-parent-mobile.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/2026-06-10T11-30-06-322Z-portal-brand-mobile-smoke.json	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/2026-06-10T11-30-06-322Z-student-mobile.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/2026-06-10T13-58-10-415Z-one-time-meeting-student-nav-local/content-meeting-drops-desktop.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/2026-06-10T13-58-10-415Z-one-time-meeting-student-nav-local/mobile-full-nav.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/2026-06-10T13-58-10-415Z-one-time-meeting-student-nav-local/report.md	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/2026-06-10T13-58-10-415Z-one-time-meeting-student-nav-local/student-workspace-desktop.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/2026-06-10T13-58-10-415Z-one-time-meeting-student-nav-local/students-list-desktop.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/2026-06-10T14-01-30-743Z-one-time-meeting-student-nav-local/content-meeting-drops-desktop.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/2026-06-10T14-01-30-743Z-one-time-meeting-student-nav-local/mobile-full-nav.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/2026-06-10T14-01-30-743Z-one-time-meeting-student-nav-local/report.md	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/2026-06-10T14-01-30-743Z-one-time-meeting-student-nav-local/student-workspace-desktop.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/2026-06-10T14-01-30-743Z-one-time-meeting-student-nav-local/students-list-desktop.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/2026-06-10T14-05-21-419Z-one-time-meeting-student-nav-local/content-meeting-drops-desktop.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/2026-06-10T14-05-21-419Z-one-time-meeting-student-nav-local/mobile-full-nav.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/2026-06-10T14-05-21-419Z-one-time-meeting-student-nav-local/report.md	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/2026-06-10T14-05-21-419Z-one-time-meeting-student-nav-local/student-workspace-desktop.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/2026-06-10T14-05-21-419Z-one-time-meeting-student-nav-local/students-list-desktop.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/2026-06-10T14-09-17-318Z-mobile-full-nav-final-local/diagnostic-no-menu.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/2026-06-10T14-12-55-452Z-mobile-full-nav-final-local/mobile-full-nav-final.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/2026-06-10T14-12-55-452Z-mobile-full-nav-final-local/report.md	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/2026-06-10T14-17-47-854Z-one-time-meeting-student-nav-live/content-meeting-drops-live-desktop.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/2026-06-10T14-17-47-854Z-one-time-meeting-student-nav-live/mobile-full-nav-live.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/2026-06-10T14-17-47-854Z-one-time-meeting-student-nav-live/report.md	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/2026-06-10T14-17-47-854Z-one-time-meeting-student-nav-live/student-workspace-live-desktop.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/2026-06-10T14-17-47-854Z-one-time-meeting-student-nav-live/students-list-live-desktop.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/2026-06-10T14-21-37-287Z-one-time-meeting-student-nav-live-structured/content-meeting-drops-live-structured-desktop.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/2026-06-10T14-21-37-287Z-one-time-meeting-student-nav-live-structured/mobile-full-nav-live.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/2026-06-10T14-21-37-287Z-one-time-meeting-student-nav-live-structured/report.md	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/2026-06-10T14-58-19-459Z-saas-redesign-baseline-local/operations-current-shell-baseline.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/2026-06-10T14-58-19-459Z-saas-redesign-baseline-local/operations-login-baseline.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/2026-06-10T14-58-19-459Z-saas-redesign-baseline-local/parent-public-baseline.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/2026-06-10T14-58-19-459Z-saas-redesign-baseline-local/provider-login-baseline.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/2026-06-10T14-58-19-459Z-saas-redesign-baseline-local/student-public-baseline.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/2026-06-10T14-58-51-455Z-saas-redesign-baseline-local/operations-current-shell-baseline.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/2026-06-10T14-58-51-455Z-saas-redesign-baseline-local/operations-login-baseline.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/2026-06-10T14-58-51-455Z-saas-redesign-baseline-local/parent-public-baseline.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/2026-06-10T14-58-51-455Z-saas-redesign-baseline-local/provider-login-baseline.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/2026-06-10T14-58-51-455Z-saas-redesign-baseline-local/report.md	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/2026-06-10T14-58-51-455Z-saas-redesign-baseline-local/student-public-baseline.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/2026-06-10T14-58-51-455Z-saas-redesign-baseline-local/student-public-mobile-baseline.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/2026-06-10T15-34-06-838Z-saas-redesign-local/operations-dashboard-desktop.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/2026-06-10T15-40-38-656Z-saas-redesign-local/operations-dashboard-desktop.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/2026-06-10T15-40-38-656Z-saas-redesign-local/operations-tasks-desktop.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/2026-06-10T15-54-17-420Z-saas-redesign-local/operations-api-usage-desktop.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/2026-06-10T15-54-17-420Z-saas-redesign-local/operations-communications-desktop.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/2026-06-10T15-54-17-420Z-saas-redesign-local/operations-contacts-desktop.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/2026-06-10T15-54-17-420Z-saas-redesign-local/operations-content-desktop.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/2026-06-10T15-54-17-420Z-saas-redesign-local/operations-dashboard-desktop.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/2026-06-10T15-54-17-420Z-saas-redesign-local/operations-mobile-navigation.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/2026-06-10T15-54-17-420Z-saas-redesign-local/operations-service-providers-desktop.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/2026-06-10T15-54-17-420Z-saas-redesign-local/operations-settings-desktop.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/2026-06-10T15-54-17-420Z-saas-redesign-local/operations-students-desktop.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/2026-06-10T15-54-17-420Z-saas-redesign-local/operations-students-documents-desktop.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/2026-06-10T15-54-17-420Z-saas-redesign-local/operations-tasks-desktop.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/2026-06-10T15-54-17-420Z-saas-redesign-local/operations-team-admin-desktop.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/2026-06-10T15-56-09-556Z-saas-redesign-local/operations-api-usage-desktop.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/2026-06-10T15-56-09-556Z-saas-redesign-local/operations-communications-desktop.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/2026-06-10T15-56-09-556Z-saas-redesign-local/operations-contacts-desktop.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/2026-06-10T15-56-09-556Z-saas-redesign-local/operations-content-desktop.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/2026-06-10T15-56-09-556Z-saas-redesign-local/operations-dashboard-desktop.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/2026-06-10T15-56-09-556Z-saas-redesign-local/operations-mobile-navigation.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/2026-06-10T15-56-09-556Z-saas-redesign-local/operations-service-providers-desktop.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/2026-06-10T15-56-09-556Z-saas-redesign-local/operations-service-providers-mobile.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/2026-06-10T15-56-09-556Z-saas-redesign-local/operations-settings-desktop.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/2026-06-10T15-56-09-556Z-saas-redesign-local/operations-students-desktop.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/2026-06-10T15-56-09-556Z-saas-redesign-local/operations-students-documents-desktop.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/2026-06-10T15-56-09-556Z-saas-redesign-local/operations-tasks-desktop.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/2026-06-10T15-56-09-556Z-saas-redesign-local/operations-team-admin-desktop.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/2026-06-10T15-56-09-556Z-saas-redesign-local/parent-portal-rtl-login-desktop.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/2026-06-10T15-57-48-351Z-saas-redesign-local/operations-api-usage-desktop.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/2026-06-10T15-57-48-351Z-saas-redesign-local/operations-communications-desktop.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/2026-06-10T15-57-48-351Z-saas-redesign-local/operations-contacts-desktop.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/2026-06-10T15-57-48-351Z-saas-redesign-local/operations-content-desktop.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/2026-06-10T15-57-48-351Z-saas-redesign-local/operations-dashboard-desktop.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/2026-06-10T15-57-48-351Z-saas-redesign-local/operations-mobile-navigation.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/2026-06-10T15-57-48-351Z-saas-redesign-local/operations-service-providers-desktop.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/2026-06-10T15-57-48-351Z-saas-redesign-local/operations-service-providers-mobile.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/2026-06-10T15-57-48-351Z-saas-redesign-local/operations-settings-desktop.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/2026-06-10T15-57-48-351Z-saas-redesign-local/operations-students-desktop.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/2026-06-10T15-57-48-351Z-saas-redesign-local/operations-students-documents-desktop.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/2026-06-10T15-57-48-351Z-saas-redesign-local/operations-tasks-desktop.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/2026-06-10T15-57-48-351Z-saas-redesign-local/operations-team-admin-desktop.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/2026-06-10T15-57-48-351Z-saas-redesign-local/parent-portal-rtl-login-desktop.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/2026-06-10T15-57-48-351Z-saas-redesign-local/student-portal-rtl-login-desktop.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/2026-06-10T15-59-29-059Z-saas-redesign-local/operations-api-usage-desktop.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/2026-06-10T15-59-29-059Z-saas-redesign-local/operations-communications-desktop.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/2026-06-10T15-59-29-059Z-saas-redesign-local/operations-contacts-desktop.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/2026-06-10T15-59-29-059Z-saas-redesign-local/operations-content-desktop.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/2026-06-10T15-59-29-059Z-saas-redesign-local/operations-dashboard-desktop.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/2026-06-10T15-59-29-059Z-saas-redesign-local/operations-mobile-navigation.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/2026-06-10T15-59-29-059Z-saas-redesign-local/operations-service-providers-desktop.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/2026-06-10T15-59-29-059Z-saas-redesign-local/operations-service-providers-mobile.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/2026-06-10T15-59-29-059Z-saas-redesign-local/operations-settings-desktop.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/2026-06-10T15-59-29-059Z-saas-redesign-local/operations-students-desktop.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/2026-06-10T15-59-29-059Z-saas-redesign-local/operations-students-documents-desktop.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/2026-06-10T15-59-29-059Z-saas-redesign-local/operations-tasks-desktop.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/2026-06-10T15-59-29-059Z-saas-redesign-local/operations-team-admin-desktop.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/2026-06-10T15-59-29-059Z-saas-redesign-local/parent-portal-rtl-login-desktop.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/2026-06-10T15-59-29-059Z-saas-redesign-local/parent-portal-rtl-login-mobile.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/2026-06-10T15-59-29-059Z-saas-redesign-local/provider-portal-login-desktop.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/2026-06-10T15-59-29-059Z-saas-redesign-local/report.md	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/2026-06-10T15-59-29-059Z-saas-redesign-local/student-portal-rtl-login-desktop.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/2026-06-10T15-59-29-059Z-saas-redesign-local/student-portal-rtl-login-mobile.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/2026-06-10T16-02-20-756Z-saas-redesign-production/operations-api-usage-desktop.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/2026-06-10T16-02-20-756Z-saas-redesign-production/operations-communications-desktop.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/2026-06-10T16-02-20-756Z-saas-redesign-production/operations-contacts-desktop.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/2026-06-10T16-02-20-756Z-saas-redesign-production/operations-content-desktop.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/2026-06-10T16-02-20-756Z-saas-redesign-production/operations-dashboard-desktop.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/2026-06-10T16-02-20-756Z-saas-redesign-production/operations-mobile-navigation.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/2026-06-10T16-02-20-756Z-saas-redesign-production/operations-service-providers-desktop.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/2026-06-10T16-02-20-756Z-saas-redesign-production/operations-service-providers-mobile.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/2026-06-10T16-02-20-756Z-saas-redesign-production/operations-settings-desktop.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/2026-06-10T16-02-20-756Z-saas-redesign-production/operations-students-desktop.png	Not confidently attributable to the focused release; needs Shloimie review.
